epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4457,1.94873,1.85507,1.48019,0.00092,0.06565,0.00303,0.00138,3.29162,3.86453,2.84433,0.00036,0.00036,0.00036
2,40.5497,1.13783,0.81992,1.05683,0.9351,0.04185,0.11503,0.05226,2.62866,3.61006,2.30659,0.000710696,0.000710696,0.000710696
3,55.7069,1.08436,0.75286,1.01777,0.92816,0.41978,0.67717,0.45035,1.26721,2.00992,1.36174,0.0010313,0.0010313,0.0010313
4,74.0095,1.00769,0.68415,0.98749,0.93281,0.92655,0.93843,0.71001,0.87906,0.68479,1.00667,0.0013218,0.0013218,0.0013218
5,91.2238,0.96047,0.65097,0.9651,0.93853,0.93977,0.94975,0.73625,0.81469,0.56463,0.97861,0.00158221,0.00158221,0.00158221
6,108.993,0.95026,0.65207,0.96603,0.94695,0.94173,0.95872,0.73948,0.84022,0.55264,0.96693,0.001604,0.001604,0.001604
7,126.895,1.00071,0.66769,0.98753,0.94797,0.94202,0.96642,0.76341,0.79431,0.50256,0.95431,0.0015248,0.0015248,0.0015248
8,143.834,0.92716,0.63032,0.95653,0.94681,0.94378,0.96514,0.76575,0.79151,0.50026,0.9541,0.0014456,0.0014456,0.0014456
9,161.136,0.91088,0.61363,0.96138,0.94359,0.94337,0.96562,0.76955,0.76676,0.49113,0.95229,0.0013664,0.0013664,0.0013664
10,178.276,0.91415,0.59614,0.95352,0.94721,0.94249,0.96091,0.75755,0.80209,0.5002,0.95699,0.0012872,0.0012872,0.0012872
11,194.695,0.89635,0.5738,0.94263,0.94808,0.94409,0.96773,0.76891,0.77908,0.49517,0.94226,0.001208,0.001208,0.001208
12,211.359,0.90438,0.59767,0.9479,0.95069,0.94146,0.97072,0.77287,0.74402,0.4778,0.93917,0.0011288,0.0011288,0.0011288
13,228.261,0.85874,0.56578,0.93846,0.95528,0.93886,0.97363,0.77813,0.74622,0.47543,0.94221,0.0010496,0.0010496,0.0010496
14,245.32,0.84184,0.55442,0.9238,0.95597,0.94433,0.97375,0.79097,0.73056,0.45765,0.9314,0.0009704,0.0009704,0.0009704
15,261.362,0.84066,0.55404,0.93743,0.959,0.94419,0.9783,0.79174,0.73261,0.45058,0.93035,0.0008912,0.0008912,0.0008912
16,284.521,0.80094,0.51183,0.91531,0.95387,0.9446,0.97502,0.78292,0.78254,0.46968,0.93365,0.000812,0.000812,0.000812
17,300.337,0.76947,0.49016,0.91146,0.96202,0.94214,0.98178,0.79907,0.72447,0.43307,0.9232,0.0007328,0.0007328,0.0007328
18,315.916,0.76501,0.48339,0.91068,0.96153,0.94369,0.98215,0.80657,0.70016,0.42763,0.91878,0.0006536,0.0006536,0.0006536
19,332.427,0.76469,0.48054,0.90765,0.96568,0.93968,0.98249,0.79216,0.70315,0.43453,0.9206,0.0005744,0.0005744,0.0005744
20,348.316,0.75291,0.47411,0.90711,0.95809,0.94754,0.98373,0.8118,0.69216,0.43261,0.91584,0.0004952,0.0004952,0.0004952
21,364.589,0.74237,0.45743,0.90464,0.95742,0.9483,0.9842,0.80316,0.71971,0.42149,0.92679,0.000416,0.000416,0.000416
22,379.813,0.7509,0.45619,0.91188,0.9696,0.94245,0.98629,0.8159,0.6861,0.40373,0.91422,0.0003368,0.0003368,0.0003368
23,397.577,0.72058,0.43938,0.8977,0.96654,0.94666,0.9874,0.82557,0.67199,0.39151,0.90512,0.0002576,0.0002576,0.0002576
24,414.426,0.73598,0.4323,0.90805,0.96693,0.94778,0.98801,0.82655,0.66327,0.38638,0.90532,0.0001784,0.0001784,0.0001784
25,430.454,0.70319,0.43463,0.89054,0.96686,0.94578,0.98789,0.8334,0.64789,0.37767,0.90006,9.92e-05,9.92e-05,9.92e-05
